Date,Antimony,Series
1965,260,1
1965,460,1
1965,240,1
1965,210,1
1965,250,1
1965,370,1
1965,510,1
1965,260,1
1965,240,1
1965,430,1
1966,220,1
1972,,1
1972,230,1
1972,295,1
1973,180,1
1973,435,1
1974,450,1
1974,470,1
1974,385,1
1974,270,1
1975,185,1
1975,505,1
1975,360,1
1975,310,1
1977,96,1
1977,140,1
1978,21,1
1978,30,1
1979,420,1
1981,,1
1981,,1
1981,,1
1981,220,1
1982,380,1
1982,300,1
1982,300,1
1983,155,1
1983,,1
1983,,1
1983,,1
1983,,1
1983,,1
1983,,1
1983,120,1
1984,106,1
1984,83,1
1984,73,1
1984,76,1
1984,64,1
1985,120,1
1985,225,1
1985,150,1
1985,240,1
1986,170,1
1986,180,1
1986,180,1
1988,,1
1989,,1
1989,170,1
1989,146,1
1989,195,1
1989,231,1
1989,158,1
1989,146,1
1989,185,1
1991,166,1
1991,140,1
1993,160,1
1994,200,1
1995,136.37,1
1996,164,1
1996,222,1
1996,207,1
1996,220,1
1996,164,1
1996,174,1
1996,144,1
1997,277,1
1998,227.69,1
2001,210,1
2001,150.98,1
2001,91.32,1
2001,60.72,1
2001,175.33,1
2001,121,1
2002,120.54,1
2002,124.2,1
2002,186,1
2002,196,1
2003,166,1
2004,,1
2004,102,1
2004,272,1
2005,550,1
2006,141.24,1
2007,,1
2007,,1
2007,,1
2007,,1
2007,,1
2007,970,1
2009,248,1
2011,,1
2011,,1
2011,,1
2011,,1
2011,96,1
2011,125,1
2011,108,1
2011,,1
2012,790,1
2012,60.9,1
2012,207.06,1
2012,,1
2013,,1
2013,,1
2013,,1
2013,456,1
2016,234,1
2020,150,1
